Velocity,Mach,AoA,CA,CN,CY,Clm,Cmm,Cyawm
102,0.3,0,0.319601,-0.004768,-0.004768,0.000304,-0.001642,-0.002991
102,0.3,2,0.322115,0.419856,0.419856,-0.000562,0.057448,-0.002433
102,0.3,4,0.313017,0.85682,0.85682,-0.00441,0.114519,-0.005201
102,0.3,6,0.290767,1.333218,1.333218,-0.001987,0.173415,-0.001422
102,0.3,8,0.255697,1.837028,1.837028,-0.008391,0.229383,-0.003796
170,0.5,0,0.294255,-0.005106,-0.005106,0.00034,-0.001869,-0.003182
170,0.5,2,0.295752,0.42383,0.42383,-0.000378,0.060138,-0.002418
170,0.5,4,0.288218,0.87877,0.87877,-0.00448,0.122445,-0.005167
170,0.5,6,0.265442,1.371173,1.371173,-0.00088,0.187586,-0.000421
170,0.5,8,0.229207,1.893151,1.893151,-0.007118,0.250029,-0.003633
204,0.6,0,0.297632,-0.002734,-0.002734,0.000228,-0.001257,-0.002194
204,0.6,2,0.302094,0.429848,0.429848,-0.000863,0.059835,-0.003014
204,0.6,4,0.280171,0.847301,0.847301,-0.003219,0.116932,-0.003839
204,0.6,6,0.256651,1.318655,1.318655,-0.000895,0.178604,-0.000404
204,0.6,8,0.224751,1.823316,1.823316,-0.006729,0.238908,-0.003563
238,0.7,0,0.376158,-0.006615,-0.006615,0.00026,-0.002192,-0.003043
238,0.7,2,0.370628,0.55633,0.55633,-0.000565,0.083473,-0.002934
238,0.7,4,0.362696,1.17388,1.17388,-0.004277,0.175199,-0.005525
238,0.7,6,0.33464,1.849124,1.849124,-0.000466,0.272942,4.4e-05
238,0.7,8,0.307627,2.604017,2.604017,-0.008963,0.385649,-0.004468
278.8,0.83,0,0.389328,-0.005701,-0.005701,0.000136,-0.002007,-0.002957
278.8,0.83,2,0.394816,0.64432,0.64432,-0.00037,0.102522,-0.003194
278.8,0.83,4,0.385493,1.371567,1.371567,-0.00366,0.222307,-0.005452
278.8,0.83,6,0.380377,2.166965,2.166965,-0.000203,0.34702,0.000138
278.8,0.83,8,0.393345,2.778356,2.778356,-0.007441,0.390038,-0.004081
289,0.85,0,0.463484,-0.006736,-0.006736,7.9e-05,-0.002482,-0.003676
289,0.85,2,0.4628435,0.7023399,0.7023399,-0.0014197,0.1003768,-0.0035676
289,0.85,4,0.462203,1.4114158,1.4114158,-0.0029184,0.2032356,-0.0034592
289,0.85,6,0.4615625,2.1204917,2.1204917,-0.0044171,0.3060944,-0.0033508
