Mach,velocity,AoA,deg,rad/s,Clpm,Cmqm,Cyawrm,Clmd,Cmmd,Cyawmd
0.3,102,0,0.1,0.00175,260.5714286,-71.4217484,-130.0989339,0.000304,-0.001642,-0.002991
0.3,102,0,0.2,0.0035,130.2857143,-35.7108742,-65.04946695,0.000304,-0.001642,-0.002991
0.3,102,0,0.3,0.00525,86.85714286,-23.80724947,-43.3663113,0.000304,-0.001642,-0.002991
0.3,102,0,0.4,0.007,65.14285714,-17.8554371,-32.52473348,0.000304,-0.001642,-0.002991
0.3,102,0,0.5,0.00875,52.11428571,-14.28434968,-26.01978678,0.000304,-0.001642,-0.002991
0.3,102,0,0.6,0.0105,43.42857143,-11.90362473,-21.68315565,0.000304,-0.001642,-0.002991
0.3,102,0,0.7,0.01225,37.2244898,-10.20310691,-18.58556199,0.000304,-0.001642,-0.002991
0.3,102,0,0.8,0.014,32.57142857,-8.92771855,-16.26236674,0.000304,-0.001642,-0.002991
0.3,102,0,0.9,0.01575,28.95238095,-7.935749822,-14.4554371,0.000304,-0.001642,-0.002991
0.3,102,0,1,0.0175,26.05714286,-7.14217484,-13.00989339,0.000304,-0.001642,-0.002991
0.3,102,0,1.1,0.01925,23.68831169,-6.492886218,-11.82717581,0.000304,-0.001642,-0.002991
0.3,102,0,1.2,0.021,21.71428571,-5.951812367,-10.84157783,0.000304,-0.001642,-0.002991
0.3,102,0,1.3,0.02275,20.04395604,-5.493980646,-10.0076103,0.000304,-0.001642,-0.002991
0.3,102,0,1.4,0.0245,18.6122449,-5.101553457,-9.292780993,0.000304,-0.001642,-0.002991
0.3,102,0,1.5,0.02625,17.37142857,-4.761449893,-8.67326226,0.000304,-0.001642,-0.002991
0.3,102,0,1.6,0.028,16.28571429,-4.463859275,-8.131183369,0.000304,-0.001642,-0.002991
0.3,102,0,1.7,0.02975,15.32773109,-4.201279318,-7.652878465,0.000304,-0.001642,-0.002991
0.3,102,0,1.8,0.0315,14.47619048,-3.967874911,-7.22771855,0.000304,-0.001642,-0.002991
0.3,102,0,1.9,0.03325,13.71428571,-3.75903939,-6.847312311,0.000304,-0.001642,-0.002991
0.3,102,0,2,0.035,13.02857143,-3.57108742,-6.504946695,0.000304,-0.001642,-0.002991
0.3,102,0,2.1,0.03675,12.40816327,-3.401035638,-6.195187329,0.000304,-0.001642,-0.002991
0.3,102,0,2.2,0.0385,11.84415584,-3.246443109,-5.913587905,0.000304,-0.001642,-0.002991
0.3,102,0,2.3,0.04025,11.32919255,-3.105293409,-5.656475387,0.000304,-0.001642,-0.002991
0.3,102,0,2.4,0.042,10.85714286,-2.975906183,-5.420788913,0.000304,-0.001642,-0.002991
0.3,102,0,2.5,0.04375,10.42285714,-2.856869936,-5.203957356,0.000304,-0.001642,-0.002991
0.3,102,0,2.6,0.0455,10.02197802,-2.746990323,-5.00380515,0.000304,-0.001642,-0.002991
0.3,102,0,2.7,0.04725,9.650793651,-2.645249941,-4.818479033,0.000304,-0.001642,-0.002991
0.3,102,0,2.8,0.049,9.306122449,-2.550776729,-4.646390496,0.000304,-0.001642,-0.002991
0.3,102,0,2.9,0.05075,8.985221675,-2.46281891,-4.486170135,0.000304,-0.001642,-0.002991
0.3,102,0,3,0.0525,8.685714286,-2.380724947,-4.33663113,0.000304,-0.001642,-0.002991
0.3,102,0,3.1,0.05425,8.405529954,-2.303927368,-4.196739803,0.000304,-0.001642,-0.002991
0.3,102,0,3.2,0.056,8.142857143,-2.231929638,-4.065591684,0.000304,-0.001642,-0.002991
0.3,102,0,3.3,0.05775,7.896103896,-2.164295406,-3.942391936,0.000304,-0.001642,-0.002991
0.3,102,0,3.4,0.0595,7.663865546,-2.100639659,-3.826439232,0.000304,-0.001642,-0.002991
0.3,102,0,3.5,0.06125,7.444897959,-2.040621383,-3.717112397,0.000304,-0.001642,-0.002991
0.3,102,0,3.6,0.063,7.238095238,-1.983937456,-3.613859275,0.000304,-0.001642,-0.002991
0.3,102,0,3.7,0.06475,7.042471042,-1.930317524,-3.516187403,0.000304,-0.001642,-0.002991
0.3,102,0,3.8,0.0665,6.857142857,-1.879519695,-3.423656155,0.000304,-0.001642,-0.002991
0.3,102,0,3.9,0.06825,6.681318681,-1.831326882,-3.3358701,0.000304,-0.001642,-0.002991
0.3,102,0,4,0.07,6.514285714,-1.78554371,-3.252473348,0.000304,-0.001642,-0.002991
0.3,102,0,4.1,0.07175,0.018692355,-0.0051235,-0.0093328,0.000304,-0.001642,-0.002991
0.3,102,0,4.2,0.0735,0.018247299,-0.0050015,-0.0091106,0.000304,-0.001642,-0.002991
0.3,102,0,4.3,0.07525,0.017822943,-0.0048852,-0.0088987,0.000304,-0.001642,-0.002991
0.3,102,0,4.4,0.077,0.017417876,-0.0047742,-0.0086965,0.000304,-0.001642,-0.002991
0.3,102,0,4.5,0.07875,0.017030812,-0.0046681,-0.0085032,0.000304,-0.001642,-0.002991
0.3,102,0,4.6,0.0805,0.016660577,-0.0045666,-0.0083183,0.000304,-0.001642,-0.002991
0.3,102,0,4.7,0.08225,0.016306097,-0.0044694,-0.0081414,0.000304,-0.001642,-0.002991
0.3,102,0,4.8,0.084,0.015966387,-0.0043763,-0.0079717,0.000304,-0.001642,-0.002991
